time,open,high,low,close,tick_volume,spread,real_volume
2011-05-09 22:00:00,1509.1,1513.35,1508.7,1511.88,1715,55,0
2011-05-09 23:00:00,1511.85,1513.7,1511.34,1512.85,436,65,0
2011-05-11 01:00:00,1515.9,1517.65,1515.8,1517.06,494,55,0
2011-05-11 02:00:00,1516.8,1517.7,1515.6,1515.6,424,55,0
2011-05-11 03:00:00,1515.7,1519.6,1515.7,1519.25,681,50,0
2011-05-11 04:00:00,1519.2,1523.1,1517.65,1522.3,869,50,0
2011-05-11 05:00:00,1522.35,1522.65,1520.6,1522.6,670,50,0
2011-05-11 06:00:00,1522.5,1523.6,1520.6,1523.28,437,55,0
2011-05-11 07:00:00,1523.3,1523.9,1522.4,1523.2,768,55,0
2011-05-11 08:00:00,1523.25,1523.6,1522.65,1523.1,609,53,0
2011-05-11 09:00:00,1523.05,1524.9,1522.7,1524.3,734,50,0
2011-05-11 10:00:00,1524.2,1524.7,1520.7,1523.4,1132,55,0
2011-05-11 11:00:00,1523.4,1526.37,1522.7,1525.3,1005,50,0
2011-05-11 12:00:00,1525.35,1526.3,1522.85,1523.2,859,50,0
2011-05-11 13:00:00,1523.1,1524.6,1521.3,1522.9,951,55,0
2011-05-11 14:00:00,1522.89,1523.2,1513.76,1514.8,1562,55,0
2011-05-11 15:00:00,1514.9,1517.15,1510.0,1512.65,2295,50,0
2011-05-11 16:00:00,1512.6,1514.9,1505.33,1508.0,2562,50,0
2011-05-11 17:00:00,1507.9,1511.2,1504.72,1507.72,3119,50,0
2011-05-11 18:00:00,1507.78,1510.8,1501.8,1502.65,2438,50,0
2011-05-11 19:00:00,1502.7,1502.8,1495.6,1500.23,2914,50,0
2011-05-11 20:00:00,1500.3,1502.55,1497.8,1500.95,2250,50,0
2011-05-11 21:00:00,1501.03,1505.9,1498.7,1504.1,1500,53,0
2011-05-11 22:00:00,1504.15,1507.2,1502.9,1503.6,1435,62,0
2011-05-11 23:00:00,1503.65,1503.83,1500.75,1501.45,457,70,0
2011-05-12 01:00:00,1499.93,1502.7,1499.62,1501.3,442,60,0
2011-05-12 02:00:00,1501.4,1504.4,1500.99,1503.7,394,65,0
2011-05-12 03:00:00,1503.5,1506.0,1503.28,1505.4,548,50,0
2011-05-12 04:00:00,1505.35,1506.3,1503.6,1504.0,793,50,0
2011-05-12 05:00:00,1504.1,1505.2,1503.1,1505.2,572,50,0
2011-05-12 06:00:00,1505.0,1506.1,1504.4,1504.5,325,55,0
2011-05-12 07:00:00,1504.6,1505.8,1504.15,1504.35,680,55,0
2011-05-12 08:00:00,1504.3,1504.8,1497.03,1497.03,868,50,0
2011-05-12 09:00:00,1497.05,1498.1,1490.5,1492.7,1361,50,0
2011-05-12 10:00:00,1492.6,1496.7,1490.5,1495.22,1204,50,0
